"sample_id","coll_date","bap","WAVE"
"40.99222_-73.75166","2008-09-10",6.03,"Simuliidae"
"40.99222_-73.75166","2008-09-10",6.03,"Turbellaria"
"41.00917_-73.69417","1999-09-14",4.2,"Philopotamidae"
"41.00917_-73.69417","1999-09-14",4.2,"Psephenidae"
"41.00917_-73.69417","1999-09-14",4.2,"Simuliidae"
"41.00917_-73.69417","1999-09-14",4.2,"Turbellaria"
"41.0183_-73.7266","2008-09-11",5.03,"Coenagrionidae"
"41.0183_-73.7266","2008-09-11",5.03,"Hirudinea"
"41.0183_-73.7266","2008-09-11",5.03,"Turbellaria"
"41.02056_-73.94722","2003-08-26",6.19,"Hydroptilidae"
"41.02056_-73.94722","2003-08-26",6.19,"Corydalidae"
"41.02056_-73.94722","2003-08-26",6.19,"Simuliidae"
"41.02056_-73.94722","2003-08-26",6.19,"Turbellaria"
"41.02222_-73.695","2008-09-10",5.4,"Asellidae"
"41.02222_-73.695","2008-09-10",5.4,"Calopterygidae"
"41.02222_-73.695","2008-09-10",5.4,"Philopotamidae"
"41.02222_-73.695","2008-09-10",5.4,"Coenagrionidae"
"41.02222_-73.695","2008-09-10",5.4,"Amphipoda"
"41.02222_-73.695","2008-09-10",5.4,"Physidae"
"41.02222_-73.695","2008-09-10",5.4,"Turbellaria"
"41.02417_-73.78306","2014-09-12",3.78,"Amphipoda"
"41.02417_-73.78306","2014-09-12",3.78,"Hirudinea"
"41.0288_-73.9256","2012-07-31",3.77,"Asellidae"
"41.0288_-73.9256","2012-07-31",3.77,"Amphipoda"
"41.0288_-73.9256","2012-07-31",3.77,"Hydroptilidae"
"41.0288_-73.9256","2012-07-31",3.77,"Heptageniidae"
"41.0288_-73.9256","2012-07-31",3.77,"Turbellaria"
"41.04_-73.6902","2013-09-18",4.08,"Asellidae"
"41.04_-73.6902","2013-09-18",4.08,"Philopotamidae"
"41.04_-73.6902","2013-09-18",4.08,"Amphipoda"
"41.04_-73.6902","2013-09-18",4.08,"Simuliidae"
"41.04_-73.6902","2013-09-18",4.08,"Hirudinea"
"41.04_-73.6902","2013-09-18",4.08,"Turbellaria"
"41.04472_-73.94527","2003-07-15",5.18,"Hydroptilidae"
"41.04472_-73.94527","2003-07-15",5.18,"Simuliidae"
"41.055_-73.82111","2008-07-23",4.23,"Asellidae"
"41.055_-73.82111","2008-07-23",4.23,"Chironomus"
"41.055_-73.82111","2008-07-23",4.23,"Amphipoda"
"41.055_-73.82111","2008-07-23",4.23,"Physidae"
"41.055_-73.82111","2008-07-23",4.23,"Hirudinea"
"41.05889_-73.99194","2012-07-31",5.47,"Philopotamidae"
"41.05889_-73.99194","2012-07-31",5.47,"Glossosomatidae"
"41.05889_-73.99194","2012-07-31",5.47,"Hydroptilidae"
"41.05889_-73.99194","2012-07-31",5.47,"Simuliidae"
"41.05889_-73.99194","2012-07-31",5.47,"Hirudinea"
"41.05889_-73.99194","2012-07-31",5.47,"Turbellaria"
"41.05917_-74.095","2007-09-12",6.39,"Philopotamidae"
"41.05917_-74.095","2007-09-12",6.39,"Amphipoda"
"41.05917_-74.095","2007-09-12",6.39,"Glossosomatidae"
"41.05917_-74.095","2007-09-12",6.39,"Hydroptilidae"
"41.05917_-74.095","2007-09-12",6.39,"Simuliidae"
"41.05917_-74.095","2007-09-12",6.39,"Turbellaria"
"41.05972_-74.03611","2012-07-31",4.49,"Amphipoda"
"41.05972_-74.03611","2012-07-31",4.49,"Glossosomatidae"
"41.05972_-74.03611","2012-07-31",4.49,"Simuliidae"
"41.06_-74.0235","2012-08-01",3.21,"Asellidae"
"41.06_-74.0235","2012-08-01",3.21,"Amphipoda"
"41.06_-74.0235","2012-08-01",3.21,"Pelecypoda"
"41.06222_-73.94583","2003-07-15",5.57,"Philopotamidae"
"41.06222_-73.94583","2003-07-15",5.57,"Leptophlebiidae"
"41.06222_-73.94583","2003-07-15",5.57,"Turbellaria"
"41.0681_-74.02594","2012-08-01",4.3,"Philopotamidae"
"41.0681_-74.02594","2012-08-01",4.3,"Amphipoda"
"41.0701_-73.7166","2000-07-12",2.92,"Asellidae"
"41.0701_-73.7166","2000-07-12",2.92,"Chironomus"
"41.0701_-73.7166","2000-07-12",2.92,"Amphipoda"
"41.0701_-73.7166","2000-07-12",2.92,"Physidae"
"41.0701_-73.7166","2000-07-12",2.92,"Pelecypoda"
"41.0701_-73.7166","2000-07-12",2.92,"Hirudinea"
"41.07417_-73.77639","2014-09-12",4.67,"Philopotamidae"
"41.07417_-73.77639","2014-09-12",4.67,"Amphipoda"
"41.07417_-73.77639","2014-09-12",4.67,"Simuliidae"
"41.07417_-73.77639","2014-09-12",4.67,"Hirudinea"
"41.07417_-73.77639","2014-09-12",4.67,"Turbellaria"
"41.07867_-74.06771","2012-08-01",3.98,"Philopotamidae"
"41.07867_-74.06771","2012-08-01",3.98,"Amphipoda"
"41.07867_-74.06771","2012-08-01",3.98,"Psephenidae"
"41.07867_-74.06771","2012-08-01",3.98,"Heptageniidae"
"41.08078_-74.08292","2012-08-01",5.49,"Philopotamidae"
"41.08078_-74.08292","2012-08-01",5.49,"Amphipoda"
"41.08078_-74.08292","2012-08-01",5.49,"Simuliidae"
"41.08078_-74.08292","2012-08-01",5.49,"Turbellaria"
"41.08611_-73.96278","2012-07-31",3.61,"Asellidae"
"41.08611_-73.96278","2012-07-31",3.61,"Amphipoda"
"41.08611_-73.96278","2012-07-31",3.61,"Heptageniidae"
"41.08668_-74.0938","2012-08-01",4.38,"Asellidae"
"41.08668_-74.0938","2012-08-01",4.38,"Philopotamidae"
"41.08668_-74.0938","2012-08-01",4.38,"Glossosomatidae"
"41.09056_-73.86056","2002-09-10",4.75,"Philopotamidae"
"41.09056_-73.86056","2002-09-10",4.75,"Amphipoda"
"41.09056_-73.86056","2002-09-10",4.75,"Psephenidae"
"41.09056_-73.86056","2002-09-10",4.75,"Simuliidae"
"41.09056_-73.86056","2002-09-10",4.75,"Heptageniidae"
"41.09056_-73.86056","2002-09-10",4.75,"Turbellaria"
"41.108407_-73.845391","2012-09-12",5.49,"Philopotamidae"
"41.108407_-73.845391","2012-09-12",5.49,"Psephenidae"
"41.108407_-73.845391","2012-09-12",5.49,"Simuliidae"
"41.108407_-73.845391","2012-09-12",5.49,"Turbellaria"
"41.11444_-73.72361","2000-07-13",3.97,"Asellidae"
"41.11444_-73.72361","2000-07-13",3.97,"Caenidae"
"41.11444_-73.72361","2000-07-13",3.97,"Leuctridae"
"41.11444_-73.72361","2000-07-13",3.97,"Physidae"
"41.11444_-73.72361","2000-07-13",3.97,"Coenagrionidae"
"41.11444_-73.72361","2000-07-13",3.97,"Hirudinea"
"41.11794_-74.04364","2012-08-01",4.34,"Amphipoda"
"41.11794_-74.04364","2012-08-01",4.34,"Hirudinea"
"41.12417_-74.13611","2007-09-12",6.75,"Coenagrionidae"
"41.12417_-74.13611","2007-09-12",6.75,"Caenidae"
"41.12417_-74.13611","2007-09-12",6.75,"Philopotamidae"
"41.12417_-74.13611","2007-09-12",6.75,"Corydalidae"
"41.12417_-74.13611","2007-09-12",6.75,"Amphipoda"
"41.12417_-74.13611","2007-09-12",6.75,"Isonychiidae"
"41.12417_-74.13611","2007-09-12",6.75,"Perlidae"
"41.12417_-74.13611","2007-09-12",6.75,"Psephenidae"
"41.12417_-74.13611","2007-09-12",6.75,"Simuliidae"
"41.12417_-74.13611","2007-09-12",6.75,"Turbellaria"
"41.12516_-74.164555","2012-09-12",5.35,"Philopotamidae"
"41.12516_-74.164555","2012-09-12",5.35,"Isonychiidae"
"41.12516_-74.164555","2012-09-12",5.35,"Psephenidae"
"41.12516_-74.164555","2012-09-12",5.35,"Turbellaria"
"41.12528_-73.74389","2003-09-16",6.98,"Philopotamidae"
"41.12528_-73.74389","2003-09-16",6.98,"Corydalidae"
"41.12528_-73.74389","2003-09-16",6.98,"Simuliidae"
"41.12528_-73.74389","2003-09-16",6.98,"Turbellaria"
"41.13114_-73.95028","2012-07-31",2.22,"Amphipoda"
"41.13114_-73.95028","2012-07-31",2.22,"Pelecypoda"
"41.13114_-73.95028","2012-07-31",2.22,"Turbellaria"
"41.14021_-73.71034","2008-09-10",5.38,"Asellidae"
"41.14021_-73.71034","2008-09-10",5.38,"Philopotamidae"
"41.14021_-73.71034","2008-09-10",5.38,"Simuliidae"
"41.14021_-73.71034","2008-09-10",5.38,"Coenagrionidae"
"41.14021_-73.71034","2008-09-10",5.38,"Turbellaria"
"41.14162_-74.16201","2012-08-01",6.3,"Perlidae"
"41.14162_-74.16201","2012-08-01",6.3,"Philopotamidae"
"41.14162_-74.16201","2012-08-01",6.3,"Psephenidae"
"41.14162_-74.16201","2012-08-01",6.3,"Leuctridae"
"41.14162_-74.16201","2012-08-01",6.3,"Corydalidae"
"41.14162_-74.16201","2012-08-01",6.3,"Leptophlebiidae"
"41.14162_-74.16201","2012-08-01",6.3,"Rhyacophilidae"
"41.14162_-74.16201","2012-08-01",6.3,"Gomphidae"
"41.15235_-74.24035","2007-09-12",8.39,"Perlidae"
"41.15235_-74.24035","2007-09-12",8.39,"Philopotamidae"
"41.15235_-74.24035","2007-09-12",8.39,"Corydalidae"
"41.15235_-74.24035","2007-09-12",8.39,"Isonychiidae"
"41.15235_-74.24035","2007-09-12",8.39,"Simuliidae"
"41.15235_-74.24035","2007-09-12",8.39,"Pelecypoda"
"41.15235_-74.24035","2007-09-12",8.39,"Heptageniidae"
"41.15235_-74.24035","2007-09-12",8.39,"Gomphidae"
"41.15235_-74.24035","2007-09-12",8.39,"Peltoperlidae"
"41.15924_-74.09836","2012-08-01",3.25,"Philopotamidae"
"41.16444_-73.86195","2002-09-10",5.7,"Philopotamidae"
"41.16444_-73.86195","2002-09-10",5.7,"Simuliidae"
"41.16472_-74.18361","2012-08-01",7.55,"Perlidae"
"41.16472_-74.18361","2012-08-01",7.55,"Glossosomatidae"
"41.16472_-74.18361","2012-08-01",7.55,"Isonychiidae"
"41.16472_-74.18361","2012-08-01",7.55,"Heptageniidae"
"41.16472_-74.18361","2012-08-01",7.55,"Leuctridae"
"41.16472_-74.18361","2012-08-01",7.55,"Psephenidae"
"41.17139_-73.96944","2012-09-12",6.13,"Asellidae"
"41.17139_-73.96944","2012-09-12",6.13,"Philopotamidae"
"41.17139_-73.96944","2012-09-12",6.13,"Amphipoda"
"41.17139_-73.96944","2012-09-12",6.13,"Simuliidae"
"41.17139_-73.96944","2012-09-12",6.13,"Heptageniidae"
"41.17139_-73.96944","2012-09-12",6.13,"Turbellaria"
"41.18189_-73.99913","2012-07-31",5.39,"Asellidae"
"41.18189_-73.99913","2012-07-31",5.39,"Philopotamidae"
"41.18189_-73.99913","2012-07-31",5.39,"Amphipoda"
"41.18189_-73.99913","2012-07-31",5.39,"Glossosomatidae"
"41.18189_-73.99913","2012-07-31",5.39,"Rhyacophilidae"
