"Pair","PfamH","Pfam","PFamL"
"Asellidae_Simuliidae",0.0116279069767442,0.0823909531502423,0.1975
"Asellidae_Tabanidae",0.00105708245243129,0.00646203554119548,0.0225
"Asellidae_Turbellaria",0.00422832980972516,0.0460420032310178,0.24
"Asellidae_Uenoidae",0.00211416490486258,0.00161550888529887,0
"Athericidae_Baetiscidae",0.00211416490486258,0.000807754442649435,0
"Athericidae_Brachycentridae",0.0813953488372093,0.012924071082391,0
"Athericidae_Caenidae",0.105708245243129,0.0452342487883683,0
"Athericidae_Calopterygidae",0.00211416490486258,0.00646203554119548,0.0025
"Athericidae_Capniidae",0.00528541226215645,0,0
"Athericidae_Chironomus",0.00105708245243129,0.0024232633279483,0.0025
"Athericidae_Chloroperlidae",0.0295983086680761,0.00726978998384491,0
"Athericidae_Coenagrionidae",0.0105708245243129,0.00565428109854604,0
"Athericidae_Cordulegastridae",0.00528541226215645,0.0024232633279483,0
"Athericidae_Corixidae",0,0,0
"Athericidae_Corydalidae",0.138477801268499,0.0718901453957997,0.005
"Athericidae_Ephemerellidae",0.182875264270613,0.0403877221324717,0
"Athericidae_Ephemeridae",0.0190274841437632,0.00807754442649435,0
"Athericidae_Glossosomatidae",0.0644820295983087,0.012924071082391,0
"Athericidae_Gomphidae",0.0940803382663848,0.0347334410339257,0.0025
"Athericidae_Haliplidae",0,0,0
"Athericidae_Helicopsychidae",0.0391120507399577,0.0145395799676898,0.0025
"Athericidae_Heptageniidae",0.278012684989429,0.124394184168013,0.0025
"Athericidae_Hirudinea",0.00422832980972516,0.00323101777059774,0.005
"Athericidae_Hydroptilidae",0.040169133192389,0.0331179321486268,0.0075
"Athericidae_Isonychiidae",0.22093023255814,0.0888529886914378,0.0025
"Athericidae_Lepidostomatidae",0.0285412262156448,0.00484652665589661,0
"Athericidae_Leptohyphidae",0.0412262156448203,0.0226171243941842,0.0025
"Athericidae_Leptophlebiidae",0.0887949260042283,0.0161550888529887,0
"Athericidae_Leuctridae",0.0792811839323467,0.0274636510500808,0
"Athericidae_Lymnaeidae",0.00211416490486258,0.0024232633279483,0
"Athericidae_Nemouridae",0.00317124735729387,0.0024232633279483,0
"Athericidae_Odontoceridae",0.0517970401691332,0.00403877221324717,0
