"sample_id","coll_date","bap","impact","1.High","2.Slight","3.Low"
"7-FALL-17.9",1987-09-09,7.76,"1.High",0.410795365522395,0.584146706365186,0.00505792811241839
"7-FALL-2.8",1987-09-09,6.77,"2.Slight",0.523653270656411,0.474154415249433,0.00219231409415547
"7-FALL-4.6",1987-09-09,7.15,"2.Slight",0.93416919518234,0.0658292513589693,1.55345869100001e-06
"7-FALL-8.5",1987-09-09,6.93,"2.Slight",0.972931229799139,0.0270687054074526,6.47934084143325e-08
"7-FLNT-11.1",2016-07-12,5.85,"2.Slight",0.768641086974804,0.229550906000706,0.00180800702448974
"7-FLNT-21.5",2008-09-04,4.26,"3.Low",0.0682948179329395,0.141426962717043,0.790278219350017
"7-FLNT-27.2",2002-07-16,4.94,"3.Low",0.157980476759504,0.560752065252496,0.281267457988
"7-FLNT-3.6",2016-07-12,5.53,"2.Slight",0.454038485594267,0.513476618492308,0.0324848959134259
"7-FLNT-33.3",2002-07-16,5.56,"2.Slight",0.812173661233948,0.184022939588432,0.00380339917761989
"7-FLNT-38.5",2002-07-16,7.7,"1.High",0.971060134990033,0.0289247669016666,1.5098108300588e-05
"7-FLNT-8.7",2011-09-20,6.39,"2.Slight",0.664523864202929,0.335373917960523,0.000102217836548606
"7-FSHK-0.3",2006-07-26,3.93,"3.Low",0.214280524952184,0.558336475017085,0.227383000030731
"7-FSHO-10.8",2006-07-27,7.86,"1.High",0.99486783296645,0.00513216703355032,0
"7-FSHO_E-11.6",2016-07-12,8.99,"1.High",0.981582045073513,0.0184179310122577,2.39142289935732e-08
"7-FSHO_E-18.4",2011-09-22,8.91,"1.High",0.995112507881811,0.00488749178566942,3.32519131205326e-10
"7-FSHO_E-2.9",2007-08-29,8.41,"1.High",0.983712605077928,0.0162873933457296,1.57634246760784e-09
"7-FSHO_W-1.2",2001-09-12,7.97,"1.High",0.981085273397773,0.0189146834863967,4.31158304339312e-08
"7-FSHO_W-10.7",2011-09-22,5.81,"2.Slight",0.820054259090699,0.179908836135207,3.69047740942918e-05
"7-FSHO_W-14.5",2011-09-21,6.85,"2.Slight",0.976601682113017,0.0233981693414088,1.48545574436557e-07
"7-FSHO_W-19.5",2011-09-21,7.17,"2.Slight",0.995957959205959,0.00404204073527268,5.8768642586907e-11
"7-FURB-1.1",2016-07-13,3.8,"3.Low",0.329458547015731,0.544675568414958,0.125865884569311
"7-FURC-0.1",2011-09-22,8.12,"1.High",0.998748945813707,0.00125105412351618,6.27772734539826e-11
