"sample_id","bap","probability"
2,5.4,0.993126252023605
3,8.07,1
4,5.73,1
7,6.96,0.999999993520697
10,4.51,0.99562915164639
13,8.29,1
19,8.08,1
23,7.89,1
24,7.06,1
25,3.4,0.00298548988423046
27,6.8,0.999999993730475
28,7.55,1
30,6.69,0.999999922242758
32,4.39,0.979771733251241
33,3.05,0.694790728436554
34,5.81,0.997960706665257
36,6.88,0.999999821006963
38,5.47,0.999033495955741
39,4.03,0.988096365606903
42,5.91,0.999998800784884
44,6.43,0.984315643002228
47,3.95,0.988747186441785
48,7.98,1
49,7.64,1
53,5.75,1
62,8.48,0.999999977904401
64,7.93,0.999995537641137
70,7.38,0.999999852541493
73,6.74,0.999999961010121
78,7.3,0.999990884501003
80,5.11,0.987723689636228
81,9.12,1
82,8.22,1
89,7.25,0.999999802873751
90,4.56,0.975385414675839
106,8.02,0.999997891098685
109,7.14,1
121,7.91,1
122,7.45,0.999999992972005
125,4.72,0.996436547727393
126,3.85,0.998680829641557
127,6.25,0.999139300114568
128,5.82,0.999921123069309
134,5.62,0.999924882328508
135,5.94,0.999994568923375
136,6.54,1
138,6.9,1
139,6.85,0.999996087228489
141,7.6,1
250,4.19,0.986435260942853
252,7.12,0.999999225098768
253,5.93,0.999999080119371
260,6.45,1
261,6.77,0.999998945424465
262,7.28,0.999999997476237
266,7.24,1
270,6.65,0.999997591725982
273,6.75,0.999972192811087
274,8.17,0.99999999984383
277,5.77,0.99999200656275
280,8.33,1
282,5.1,0.999581347110169
287,7.78,0.999999997091829
290,3.85,0.946434080266309
293,7.41,0.99999998529117
314,7.7,1
319,6.8,0.999987342200117
323,7.49,0.999999999530954
335,5.3,1
338,6.46,0.999824263527047
341,7.79,0.999955495196809
346,7.03,1
351,3.33,0.08071405922424
353,5.97,0.16651380569079
355,6.34,0.998753363461394
359,8.14,0.999999907748359
362,5.87,0.998032778947595
363,7.68,0.999997087788543
365,9.31,1
366,6.62,0.99997615226885
368,8.68,1
369,7.56,0.999999947425753
378,6.46,0.998932014062398
379,3.39,0.970207675940973
380,3.7,0.710092678330945
383,6.99,0.99999764758392
384,7.28,1
385,6.33,0.999683556086814
387,7.26,0.999999986831554
388,6.98,1
391,5.18,0.999980279943312
393,7.1,0.999989596443514
397,8.47,1
402,6.01,1
404,7.09,1
