"sample_id","bap","probability"
2,5.4,0.499553383579062
3,8.07,0.00558051640059024
4,5.73,0.0170193954436298
7,6.96,0.0632597556307462
10,4.51,0.444023768006472
13,8.29,0.0906934175706712
19,8.08,0.0568933043938949
23,7.89,0.0856092044913059
24,7.06,0.214782381837888
25,3.4,0
27,6.8,0.0629359986267264
28,7.55,0.0994631053874616
30,6.69,0.180726029182469
32,4.39,0.453131122250778
33,3.05,0.613804002636204
34,5.81,0.334176070153896
36,6.88,0.273896639640434
38,5.47,0.473326933622692
39,4.03,0.464017827533538
42,5.91,0.249185555573956
44,6.43,0.549206809018169
47,3.95,0.54263306729392
48,7.98,0.0706529367221398
49,7.64,0.0855915250619581
53,5.75,0.318188467388789
62,8.48,0
64,7.93,0.226626977131633
70,7.38,0.294459869552682
73,6.74,0.192150967513094
78,7.3,0.303417905938127
80,5.11,0.621104243930953
81,9.12,0.0889948165353562
82,8.22,0.0942564681920193
89,7.25,0.201274897341866
90,4.56,0.524767221140144
106,8.02,0.307748347273902
109,7.14,0.113158091328219
121,7.91,0.0212708435153275
122,7.45,0.176153471588938
125,4.72,0.261868704931675
126,3.85,0.507007111326745
127,6.25,0.364422131398246
128,5.82,0.429374105660578
134,5.62,0.45239802484774
135,5.94,0.390194853822627
136,6.54,0.559876798946422
138,6.9,0.0847023470842371
139,6.85,0.203657677216713
141,7.6,0.159487623395694
250,4.19,0.252713745911033
252,7.12,0.309746323353266
253,5.93,0.0915400053808375
260,6.45,0.584721738253331
261,6.77,0.182865782014663
262,7.28,0.200316806595668
266,7.24,0.296714712307095
270,6.65,0.286035462878005
273,6.75,0.295995009196004
274,8.17,0.0332521379542579
277,5.77,0.446109511420345
280,8.33,0.0299937960789674
282,5.1,0.464102150927224
287,7.78,0.107269703560409
290,3.85,0.508364901665072
293,7.41,0.12597681422254
314,7.7,0.023388045480752
319,6.8,0.170108346247846
323,7.49,0.0121949446370886
335,5.3,0.0558975236694832
338,6.46,0.0554979961419791
341,7.79,0.100388561091352
346,7.03,0.406530890249404
351,3.33,0.351137573356464
353,5.97,0.570095255276178
355,6.34,0.389693500977657
359,8.14,0.15424471515958
362,5.87,0.425984263803444
363,7.68,0.269508710192725
365,9.31,0.00416701584143157
366,6.62,0.388509565142423
368,8.68,0.0200603814971737
369,7.56,0.151632205199979
378,6.46,0.50964941831165
379,3.39,0.533142102722336
380,3.7,0.65553291534295
383,6.99,0.285561336840211
384,7.28,0.388056505967436
385,6.33,0.306592412539936
387,7.26,0.272974878709955
388,6.98,0.0259575997521548
391,5.18,0.370428934739351
393,7.1,0.29527574395935
397,8.47,0.00759706902232799
402,6.01,0.676782391695196
404,7.09,0.0359376949469577
407,3.71,0.338349237989751
411,4.94,0.512695975347125
412,7.93,0.0877341790953077
416,8.66,0.0357313602418358
419,6.44,0.169069033763758
422,6.34,0.465561534773946
425,5.32,0.56245144745622
427,8.01,0.00704575585169944
428,8.09,0.0978149963770003
429,6.52,0.509987426129293
434,8.32,0.152591124461914
438,4.45,0.451704227781321
441,7.72,0
442,8.74,0.0054510277865723
444,2.93,0
445,4.24,0.461987745037234
446,8.05,0.0156403885776803
447,2.95,0.548099234901532
448,5.31,0.549389144132715
452,7.21,0.00816065638726791
455,7.82,0.295026890231219
458,7.82,0.0744783622989204
459,6.04,0.327462917781428
460,8.6,0.152492991251363
470,7.89,0.520228683308243
474,7.93,0.0983906235679404
475,8.35,0.0453800001873598
477,8.1,0.0158145045966311
483,8.35,0.0151872456387032
489,5.44,0.320169749746958
490,8.98,0.0101460800942918
493,7.7,0.2224230283851
496,6,0.0576523678377212
500,9.27,0.0238436287468017
504,7.42,0.268665415759674
550,7.25,0.400304926339815
551,6.92,0.436075092760062
552,6.52,0.595141733596451
553,8.54,0.0148983196441752
555,7.87,0.010106641141707
558,6.41,0.223236515480806
560,6.94,0.342805339893987
561,4.19,0.488210143837203
562,8.73,0.169509427165283
563,7.73,0.368782084878345
568,6.05,0.525680869250329
576,5.09,0.493626494561147
584,8.34,0.093130188480565
586,8.3,0.0369118588467906
595,6.21,0.442580433035031
597,5.54,0.65044273114234
598,6.88,0.271364184066163
600,6.71,0.134547884255908
603,7.84,0.0801055876372816
608,4.49,0.610456161644296
