"sample_id","Collection.Date","3.Low","PossiblyImpaired"
"42.465,-73.7922","07/05/2016",0.603545261260571,"yes"
"42.4764,-73.7932","07/26/2016",0.973376502489548,"yes"
"42.4822,-79.3055","08/06/2014",0.906041361043867,"yes"
"42.4822,-79.3055","09/14/2014",0.906041361043867,"yes"
"42.5359,-74.0771","08/03/2016",0.570306945503159,"yes"
"42.5775,-73.8137","09/16/2015",0.819999189754633,"yes"
"42.5978,-76.6303","09/30/2015",0.877029933698477,"yes"
"42.5984,-73.7817","09/07/2015",0.755854570442946,"yes"
"42.6331,-78.3342","09/01/2014",0.677272235982227,"yes"
"42.6343,-73.8014","08/19/2013",0.706696585174234,"yes"
"42.6343,-73.8014","08/24/2012",0.706696585174234,"yes"
"42.6343,-73.8014","09/07/2012",0.706696585174234,"yes"
"42.6345,-73.8","09/23/2013",0.667688888176085,"yes"
"42.6345,-73.999","8/30/2017",0.915583123839985,"yes"
"42.6505,-73.8444","07/07/2016",0.901286057963983,"yes"
"42.6506,-73.8449","09/20/2012",0.987058306300735,"yes"
"42.6592,-73.828","08/07/2016",0.990250655207567,"yes"
"42.6683,-73.8275","8/7/2017",0.790687457654581,"yes"
"42.6719,-73.7578","07/20/2016",0.981537811530787,"yes"
"42.672,-73.828","09/12/2012",0.67129928275549,"yes"
"42.6767,-73.8356","08/11/2016",0.975837577652535,"yes"
"42.6784,-73.8372","08/23/2016",0.957260548027575,"yes"
"42.6832,-73.9087","8/4/2017",0.790687457654581,"yes"
"42.6868,-73.7432","09/13/2014",0.67129928275549,"yes"
"42.6873,-78.9996","08/10/2014",0.913965852568904,"yes"
"42.6923,-73.7781","8/15/2017",0.934619360134393,"yes"
"42.6998,-73.939","09/29/2016",0.89140834116482,"yes"
"42.702,-73.9658","09/29/2016",0.850370873730114,"yes"
"42.7366,-73.7145","07/28/2016",0.975837577652535,"yes"
"42.7389,-73.7145","07/26/2014",0.958137872994807,"yes"
"42.7543,-73.7006","08/07/2014",0.969394886933198,"yes"
"42.7543,-73.7006","09/23/2015",0.969394886933198,"yes"
"42.7554,-73.8658","07/01/2014",0.565201476206693,"yes"
"42.7756,-73.7637","09/20/2015",0.842903693466876,"yes"
"42.7775,-73.8227","07/19/2012",0.836425750736181,"yes"
"42.7781,-73.7917","08/12/2014",0.790687457654581,"yes"
"42.7786,-73.7915","09/12/2014",0.927255575515849,"yes"
"42.7833,-73.8572","07/11/2012",0.530782103003919,"yes"
"42.7833,-73.8572","07/24/2014",0.530782103003919,"yes"
"42.794,-74.1724","07/16/2014",0.992721042751059,"yes"
"42.8019,-73.848","08/30/2012",0.942026128377851,"yes"
"42.829,-76.407","7/19/2017",0.518876153678389,"yes"
