OBJECTID,Shape,HydroID,DrainID,Name,Descript,GlobalWshd,RELATEDOIDS,HUCID,CONTOUR,A,MXSNO,streamid,WARNINGMSG,Edited,PK1_25,PK1_5,PK2,PK5,PK10,PK25,PK50,PK100,PK200,PK500,URBNLCD2001,BFAREA,BFDPTH,BFFLOW,BFWDTH,ExcludeCode,CSL10_85,LENGTH,BSLOPCM,SLOPERATIO,LAGFACTOR,EL1200,STORAGE,FOREST,MAR,CSL1085LO,CSL1085UP,LC11DEV,LC11IMP,MAYAVPRE,JUNAVPRE,JULAVPRE,SSURGOA,SSURGOB,JUNMAXTMP,DRNAREA,PRECIP,PRJUNAUG00,CENTROIDX,CENTROIDY,OUTLETX,OUTLETY,WEIGHTED,Shape_Length,Shape_Area
1,,2,2,FOX_6.1,StreamStats Batch,1,,02020005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.16575631,,,,,,,,96380,220556800
2,,4,4,FOX_9.8,StreamStats Batch,1,,02020005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.65199452,,,,,,,,102000,190739200
3,,6,6,FOXH_0.1,StreamStats Batch,1,,02020006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.984422031,,,,,,,,18240,10318600
4,,8,8,FOXS_6.7,StreamStats Batch,1,,04140102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.11354997,,,,,,,,60420,39140100
5,,10,10,FREC_0.1,StreamStats Batch,1,,02020002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.69097512,,,,,,,,48200,27686800
6,,12,12,FREN_0.9,StreamStats Batch,1,,05010004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.67781903,,,,,,,,126440,214113700
7,,14,14,FREN_12.7,StreamStats Batch,1,,05010004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.70869354,,,,,,,,75620,115783700
8,,16,16,FREN_3.4,StreamStats Batch,1,,05010004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.23026918,,,,,,,,114860,179288100
9,,18,18,FREN_6.9,StreamStats Batch,1,,05010004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.12591488,,,,,,,,95940,160889700
10,,20,20,FREN_8.9,StreamStats Batch,1,,05010004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.83102267,,,,,,,,88640,152356800
11,,22,22,FREW_0.9,StreamStats Batch,1,,05010002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.089372078,,,,,,,,28520,18359600
12,,24,24,FROS_1.2,StreamStats Batch,1,,02050103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.368465626,,,,,,,,14840,6133700
13,,26,26,FSCR_1.2,StreamStats Batch,1,,04150303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.33959076,,,,,,,,80040,91520200
14,,28,28,FSED_2.5,StreamStats Batch,1,,02040102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.396212542,,,,,,,,23660,16564500
15,,30,30,FSHB_1.3,StreamStats Batch,1,,04150101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.18004874,,,,,,,,33180,23773900
16,,32,32,FSHC_0.8,StreamStats Batch,1,,04150101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.6460809,,,,,,,,63080,61237100
17,,34,34,FSHK_0.3,StreamStats Batch,1,,04140201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.03023754,,,,,,,,43980,28565400
18,,36,36,FSHO_10.8,StreamStats Batch,1,,04140202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,403.2739703,,,,,,,,319600,1044373000
19,,38,38,FULM_0.4,StreamStats Batch,1,,02020004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.93720273,,,,,,,,58140,67170500
20,,40,40,FULM_2.7,StreamStats Batch,1,,02020004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.68530166,,,,,,,,50780,56159200
21,,42,42,FULM_3.8,StreamStats Batch,1,,02020004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.42832838,,,,,,,,47220,47724500
22,,44,44,FURC_0.1,StreamStats Batch,1,,04140202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.03861403,,,,,,,,56620,36356300
23,,46,46,FURN_1.6,StreamStats Batch,1,,02020009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.385850208,,,,,,,,30880,19127400
24,,48,48,FYSH_0.1,StreamStats Batch,1,,04140102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.64456112,,,,,,,,47580,27566600
25,,50,50,FYSH_1.8,StreamStats Batch,1,,04140102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.353684764,,,,,,,,38280,19044100
