OBJECTID,Shape,HydroID,DrainID,Name,Descript,GlobalWshd,RELATEDOIDS,HUCID,CONTOUR,A,MXSNO,streamid,WARNINGMSG,Edited,PK1_25,PK1_5,PK2,PK5,PK10,PK25,PK50,PK100,PK200,PK500,URBNLCD2001,BFAREA,BFDPTH,BFFLOW,BFWDTH,ExcludeCode,CSL10_85,LENGTH,BSLOPCM,SLOPERATIO,LAGFACTOR,EL1200,STORAGE,FOREST,MAR,CSL1085LO,CSL1085UP,LC11DEV,LC11IMP,MAYAVPRE,JUNAVPRE,JULAVPRE,SSURGOA,SSURGOB,JUNMAXTMP,DRNAREA,PRECIP,PRJUNAUG00,CENTROIDX,CENTROIDY,OUTLETX,OUTLETY,WEIGHTED,Shape_Length,Shape_Area
1,,2,2,EFSH_18.4,StreamStats Batch,1,,04140202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.57582852,,,,,,,,112820,244926400
2,,4,4,EFSH_2.9,StreamStats Batch,1,,04140202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.5892858,,,,,,,,190980,444370900
3,,6,6,EIGT_0.6,StreamStats Batch,1,,02020006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.92249075,,,,,,,,49920,30876100
4,,8,8,EKOY_2.2,StreamStats Batch,1,,04130002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.17848224,,,,,,,,98020,122179800
5,,10,10,ELCK_0.1,StreamStats Batch,1,,05010001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.451085754,,,,,,,,18040,8937400
6,,12,12,ELEV_0.2,StreamStats Batch,1,,04120104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.72680889,,,,,,,,41160,27779600
7,,14,14,ELK_0.1,StreamStats Batch,1,,02040101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.55703152,,,,,,,,43540,40288600
8,,16,16,ELKC_1.3,StreamStats Batch,1,,02050104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999128461,,,,,,,,35600,25895100
9,,18,18,ELKS_1.4,StreamStats Batch,1,,02050101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.80892159,,,,,,,,66740,82376700
10,,20,20,ELLI_10.3,StreamStats Batch,1,,04120104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.68585349,,,,,,,,145500,206365300
11,,22,22,ELLI_12.3,StreamStats Batch,1,,04120104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.12074065,,,,,,,,138460,197132600
12,,24,24,ELLI_17.5,StreamStats Batch,1,,04120104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.33826144,,,,,,,,116860,174388300
13,,26,26,ELLI_22.9,StreamStats Batch,1,,04120104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.78739716,,,,,,,,103400,165192500
14,,28,28,ELLI_28.4,StreamStats Batch,1,,04120104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.95666422,,,,,,,,79820,103477200
15,,30,30,ELLI_31.3,StreamStats Batch,1,,04120104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.99950091,,,,,,,,69800,100998400
16,,32,32,ELLI_7.1,StreamStats Batch,1,,04120104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.69699639,,,,,,,,155900,216753100
17,,34,34,ELLS_1,StreamStats Batch,1,,02050103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.88042359,,,,,,,,47600,41126100
18,,36,36,ELMC_0.4,StreamStats Batch,1,,05010002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.38994609,,,,,,,,51700,47625100
19,,38,38,ELMK_0.6,StreamStats Batch,1,,04150304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.7394992,,,,,,,,112140,102914800
20,,40,40,ELMK_4.3,StreamStats Batch,1,,04150304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.07850786,,,,,,,,98060,93433800
21,,42,42,ELTO_4.2,StreamStats Batch,1,,04120102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.86109737,,,,,,,,76240,95460500
22,,44,44,EMED_0.4,StreamStats Batch,1,,02030200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.68435564,,,,,,,,75800,74284900
23,,46,46,EMIL_1.1,StreamStats Batch,1,,04130001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.17162563,,,,,,,,119820,220572000
24,,48,48,EMIL_12.1,StreamStats Batch,1,,04130001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.866528057,,,,,,,,46880,25551700
25,,50,50,EMIL_7.5,StreamStats Batch,1,,04130001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.96797546,,,,,,,,104740,183788300
26,,52,52,EMIL_E_1,StreamStats Batch,1,,04130001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.34229928,,,,,,,,73020,112245100
27,,54,54,EMIL_E_13.4,StreamStats Batch,1,,04130001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.66012535,,,,,,,,55820,56094000
28,,56,56,EMRY_0.7,StreamStats Batch,1,,02040102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.20627038,,,,,,,,27880,16072600
29,,58,58,ENBR_0.7,StreamStats Batch,1,,02010008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.446474155,,,,,,,,25180,19284400
30,,60,60,ENGL_2.5,StreamStats Batch,1,,04150308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.32640685,,,,,,,,85040,101845000
31,,62,62,ENSH_0.4,StreamStats Batch,1,,05010001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.637166519,,,,,,,,18600,9419300
32,,64,64,ESOP_16.1,StreamStats Batch,1,,02020006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.1256454,,,,,,,,217380,777246100
33,,66,66,ESOP_19.8,StreamStats Batch,1,,02020006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283.7144727,,,,,,,,214420,734745500
34,,68,68,ESOP_4.4,StreamStats Batch,1,,02020006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,418.0271746,,,,,,,,240740,1082579900
35,,70,70,ESOP_7.5,StreamStats Batch,1,,02020006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.075567557,,,,,,,,4480,195700
36,,72,72,ESTN_3.4,StreamStats Batch,1,,02020002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.14500132,,,,,,,,119220,238631200
37,,74,74,FABG_2.3,StreamStats Batch,1,,02020008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.100870752,,,,,,,,17580,5440700
38,,76,76,FABS_2.6,StreamStats Batch,1,,02050102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.62306142,,,,,,,,48040,40459600
39,,78,78,FACT_3.2,StreamStats Batch,1,,02050102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.29095913,,,,,,,,35080,29240600
40,,80,80,FACT_4.8,StreamStats Batch,1,,02050102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.104219129,,,,,,,,3820,269900
41,,82,82,FALK_0.3,StreamStats Batch,1,,04150101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.02956732,,,,,,,,55000,31153400
42,,84,84,FALL_1.2,StreamStats Batch,1,,04140201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.5719121,,,,,,,,191740,327787800
43,,86,86,FALL_17.9,StreamStats Batch,1,,04140201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.13053197,,,,,,,,97880,135004300
44,,88,88,FALS_0.1,StreamStats Batch,1,,02040101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.667925324,,,,,,,,27100,19857900
45,,90,90,FCLV_0.1,StreamStats Batch,1,,02040102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.22809557,,,,,,,,36540,29077800
46,,92,92,FDRY_0.4,StreamStats Batch,1,,02020008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.476350336,,,,,,,,25820,14182300
47,,94,94,FELT_0.3,StreamStats Batch,1,,04150101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.07684741,,,,,,,,52640,57173200
48,,96,96,FERG_2.4,StreamStats Batch,1,,02020004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.695435013,,,,,,,,21840,9570200
49,,98,98,FERR_1,StreamStats Batch,1,,02010008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.55226267,,,,,,,,36380,22148100
