OBJECTID,Shape,HydroID,DrainID,Name,Descript,GlobalWshd,RELATEDOIDS,HUCID,CONTOUR,A,MXSNO,streamid,WARNINGMSG,Edited,PK1_25,PK1_5,PK2,PK5,PK10,PK25,PK50,PK100,PK200,PK500,URBNLCD2001,BFAREA,BFDPTH,BFFLOW,BFWDTH,ExcludeCode,CSL10_85,LENGTH,BSLOPCM,SLOPERATIO,LAGFACTOR,EL1200,STORAGE,FOREST,MAR,CSL1085LO,CSL1085UP,LC11DEV,LC11IMP,MAYAVPRE,JUNAVPRE,JULAVPRE,SSURGOA,SSURGOB,JUNMAXTMP,DRNAREA,PRECIP,PRJUNAUG00,CENTROIDX,CENTROIDY,OUTLETX,OUTLETY,WEIGHTED,Shape_Length,Shape_Area
1,,2,2,TRUM_2.8,StreamStats Batch,1,,04140201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.30224545,,,,,,,,46360,34449300
2,,4,4,TRUT_1.2,StreamStats Batch,1,,02040101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.1595089,,,,,,,,43460,52207800
3,,6,6,TRUT_1.4,StreamStats Batch,1,,02040101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.01964907,,,,,,,,42960,51845600
4,,8,8,TUNG_1.3,StreamStats Batch,1,,05010001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.6654076,,,,,,,,124120,369465700
5,,10,10,TUNG_7.1,StreamStats Batch,1,,05010001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.5356151,,,,,,,,137620,436462700
6,,12,12,TURN_1.5,StreamStats Batch,1,,04150302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.900662815,,,,,,,,32840,25640100
7,,14,14,TUSC_0.5,StreamStats Batch,1,,02050104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.1504901,,,,,,,,149220,331875900
8,,16,16,TUSC_4.4,StreamStats Batch,1,,02050104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.1910927,,,,,,,,139640,313852900
9,,18,18,TUSC_7.7,StreamStats Batch,1,,02050104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.11862513,,,,,,,,93700,173819500
10,,20,20,TUSC_N_0.3,StreamStats Batch,1,,02050104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.38578961,,,,,,,,79400,81280900
11,,22,22,TUSC_N_8.4,StreamStats Batch,1,,02050104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.93749231,,,,,,,,48180,49043100
12,,24,24,TUSC_S_0.2,StreamStats Batch,1,,02050104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.63713899,,,,,,,,46120,50855000
13,,26,26,TUTL_2.1,StreamStats Batch,1,,02030200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.062463631,,,,,,,,10340,2751500
14,,28,28,TWEN_0.4,StreamStats Batch,1,,04120101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.64199061,,,,,,,,84680,89713600
15,,30,30,TWEN_13.5,StreamStats Batch,1,,04120101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.32703837,,,,,,,,42400,26744300
16,,32,32,TWEN_4,StreamStats Batch,1,,04120101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.20802189,,,,,,,,72900,86000000
17,,34,34,TWES_0.5,StreamStats Batch,1,,02020004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.091173148,,,,,,,,37080,20954000
18,,36,36,TWIL_0.9,StreamStats Batch,1,,04150101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.47544293,,,,,,,,39820,32308100
19,,38,38,TWIT_0.9,StreamStats Batch,1,,04150101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.53170075,,,,,,,,58720,40223000
20,,40,40,TWLF_1.3,StreamStats Batch,1,,02020008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.549909965,,,,,,,,24900,14372800
21,,42,42,TWOB_1.3,StreamStats Batch,1,,02010006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.048885297,,,,,,,,3400,126600
22,,44,44,TWOB_3.7,StreamStats Batch,1,,02010006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.3535855,,,,,,,,48300,44941200
23,,46,46,TWOM_0.4,StreamStats Batch,1,,04120104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.493354274,,,,,,,,20040,11636600
24,,48,48,UBOG_0.1,StreamStats Batch,1,,02020009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.159834298,,,,,,,,16100,5593400
25,,50,50,UGNS_132,StreamStats Batch,1,,04130002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332.3359593,,,,,,,,224680,860662300
26,,52,52,UGNS_134.7,StreamStats Batch,1,,04130002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306.2621017,,,,,,,,215360,793137900
27,,54,54,UGNS_139.6,StreamStats Batch,1,,04130002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.20276,,,,,,,,180100,552138800
28,,56,56,UGNS_146.5,StreamStats Batch,1,,04130002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.9896464,,,,,,,,146720,378074600
29,,58,59,UGNS_60.8,StreamStats Batch,0,5,04130003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.162253192,,,,,,,,18580,8189400
30,,59,59,UGNS_60.8,StreamStats Batch,1,29,04130003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1429.878144,,,,,,,,625160,3703006000
31,,61,61,UGNS_85.8,StreamStats Batch,1,,04130002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,995.8335109,,,,,,,,478560,2578945600
32,,63,64,UHUD_2.7,StreamStats Batch,0,"28,30",02020003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1896.188939,,,,,,,,622480,4910628200
33,,64,64,UHUD_2.7,StreamStats Batch,1,32,02020003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4613.06863,,,,,,,,1254180,11946626900
34,,66,66,UHUD_27.5,StreamStats Batch,1,,02020003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.504284778,,,,,,,,12040,3895700
35,,68,68,UHUD_273,StreamStats Batch,1,,02020001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,749.8745512,,,,,,,,448340,1941976900
36,,70,70,UHUD_284.9,StreamStats Batch,1,,02020001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,621.4829554,,,,,,,,426360,1609476600
37,,72,72,UHUD_286,StreamStats Batch,1,,02020001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.262690899,,,,,,,,4960,680300
38,,74,75,UHUD_39.8,StreamStats Batch,0,"28,30",02020003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.62450696,,,,,,,,147000,247642200
39,,75,75,UHUD_39.8,StreamStats Batch,1,38,02020003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2812.504198,,,,,,,,846560,7283641700
40,,77,78,UHUD_51,StreamStats Batch,0,"28,30",02020003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.21579448,,,,,,,,109840,199968500
