OBJECTID,Shape,HydroID,DrainID,Name,Descript,GlobalWshd,RELATEDOIDS,HUCID,CONTOUR,A,MXSNO,streamid,WARNINGMSG,Edited,PK1_25,PK1_5,PK2,PK5,PK10,PK25,PK50,PK100,PK200,PK500,URBNLCD2001,BFAREA,BFDPTH,BFFLOW,BFWDTH,ExcludeCode,CSL10_85,LENGTH,BSLOPCM,SLOPERATIO,LAGFACTOR,EL1200,STORAGE,FOREST,MAR,CSL1085LO,CSL1085UP,LC11DEV,LC11IMP,MAYAVPRE,JUNAVPRE,JULAVPRE,SSURGOA,SSURGOB,JUNMAXTMP,DRNAREA,PRECIP,PRJUNAUG00,CENTROIDX,CENTROIDY,OUTLETX,OUTLETY,WEIGHTED,Shape_Length,Shape_Area
1,,2,2,NMIL_6.2,StreamStats Batch,1,,02020004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.74069903,,,,,,,,83080,131405000
2,,4,4,NORB_T10_1.5,StreamStats Batch,1,,04140201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.411625016,,,,,,,,8840,1066000
3,,6,6,NORC_0.1,StreamStats Batch,1,,02020006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.09580687,,,,,,,,55700,57222300
4,,8,8,NORG_1.9,StreamStats Batch,1,,04120101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.125751942,,,,,,,,11560,2915400
5,,10,10,NORH_0.6,StreamStats Batch,1,,02020001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.88080424,,,,,,,,55180,56665500
6,,12,12,NORM_16.9,StreamStats Batch,1,,02020006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.8963771,,,,,,,,143100,351935700
7,,14,14,NORM_3.7,StreamStats Batch,1,,02020006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.561061114,,,,,,,,7260,1453000
8,,16,16,NORM_33.6,StreamStats Batch,1,,02020006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.05623029,,,,,,,,50400,49350600
9,,18,18,NORM_33.8,StreamStats Batch,1,,02020006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.41330754,,,,,,,,50740,47685600
10,,20,20,NORT_2.3,StreamStats Batch,1,,02020004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.39018047,,,,,,,,12240,3600200
11,,22,22,NOST_0.3,StreamStats Batch,1,,02020006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.96990872,,,,,,,,35040,30998900
12,,24,24,NOWA_1.1,StreamStats Batch,1,,02020004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.65411815,,,,,,,,58680,81975800
13,,26,26,NOWA_6.1,StreamStats Batch,1,,02020004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.10186922,,,,,,,,29380,20981700
14,,28,28,NPET_1.1,StreamStats Batch,1,,02020007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.261758667,,,,,,,,32580,16216300
15,,30,30,NRCK_1.2,StreamStats Batch,1,,02020004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.18085139,,,,,,,,52140,47083600
16,,32,32,NRCR_0.1,StreamStats Batch,1,,02020004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.25179906,,,,,,,,39000,44677600
17,,34,34,NRUP_0.8,StreamStats Batch,1,,04130001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.33698699,,,,,,,,55780,29359800
18,,36,36,NSAN_0.3,StreamStats Batch,1,,04140102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.46902481,,,,,,,,84080,91855400
19,,38,38,NSAR_2.1,StreamStats Batch,1,,02010006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.4348986,,,,,,,,157580,322253500
20,,40,40,NSAR_9,StreamStats Batch,1,,02010006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.59417002,,,,,,,,98860,136205000
21,,42,42,NUTR_0.5,StreamStats Batch,1,,02050101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.399665721,,,,,,,,16220,6214500
22,,44,44,NVUS_0.9,StreamStats Batch,1,,02050101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.0336663,,,,,,,,131020,305676000
23,,46,46,NVUS_T16_0.8,StreamStats Batch,1,,02050101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.519435245,,,,,,,,6840,1345200
24,,48,48,NWIN_0.2,StreamStats Batch,1,,02050101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.58170585,,,,,,,,41800,40352500
25,,50,50,OAKS_0.7,StreamStats Batch,1,,02050101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.2386954,,,,,,,,141340,264771200
26,,52,52,OAKS_T2_0.8,StreamStats Batch,1,,02050101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.053389346,,,,,,,,11700,2728000
27,,54,54,OATK_1.5,StreamStats Batch,1,,04130003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.5322282,,,,,,,,252200,550402300
28,,56,56,OATK_16.3,StreamStats Batch,1,,04130003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.3539224,,,,,,,,167020,366069300
29,,58,58,OATK_28.2,StreamStats Batch,1,,04130003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.4167555,,,,,,,,123640,270411800
30,,60,60,OATK_4.2,StreamStats Batch,1,,04130003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.7445609,,,,,,,,229240,530234300
31,,62,62,OATK_48.1,StreamStats Batch,1,,04130003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.1839985,,,,,,,,71420,101476200
32,,64,64,OATK_52.5,StreamStats Batch,1,,04130003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.27439098,,,,,,,,58740,36966900
33,,66,66,OATK_T1_0.8,StreamStats Batch,1,,04130003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.800696719,,,,,,,,23860,9842800
34,,68,68,OCCA_0.2,StreamStats Batch,1,,02050101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.846763196,,,,,,,,20520,9962100
35,,70,70,OCON_0.1,StreamStats Batch,1,,02050101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.252223762,,,,,,,,20100,8422400
36,,72,72,OCQN_1.5,StreamStats Batch,1,,02050101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.38258185,,,,,,,,52840,52785500
37,,74,74,OIL_0.1,StreamStats Batch,1,,05010001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.43330698,,,,,,,,110900,164275500
38,,76,76,OIL_3.8,StreamStats Batch,1,,05010001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.50357613,,,,,,,,94420,151508800
39,,78,78,OIL_5.8,StreamStats Batch,1,,05010001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.1172598,,,,,,,,97420,140149400
40,,80,80,OLEA_1,StreamStats Batch,1,,05010001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.9130724,,,,,,,,224760,530670700
41,,82,82,OLEA_3.9,StreamStats Batch,1,,05010001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.515045,,,,,,,,209900,514101500
42,,84,84,OLMS_0.3,StreamStats Batch,1,,04150101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.509892096,,,,,,,,29060,16858900
43,,86,86,OMAL_0.3,StreamStats Batch,1,,04150305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.709076787,,,,,,,,29340,14785000
44,,88,88,ONDO_0.9,StreamStats Batch,1,,04140201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.537917553,,,,,,,,15240,3982800
45,,90,90,ONEI_8.6,StreamStats Batch,1,,04140202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.4737746,,,,,,,,178760,309405500
46,,92,92,ONES_0.6,StreamStats Batch,1,,02020006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.54892263,,,,,,,,88220,76523900
47,,94,94,ONES_2.9,StreamStats Batch,1,,02020006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.3781854,,,,,,,,80760,73492000
48,,96,96,ONES_5.7,StreamStats Batch,1,,02020006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.84068157,,,,,,,,68060,64330800
49,,98,98,ONES_7.3,StreamStats Batch,1,,02020006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.9028197,,,,,,,,61080,41184100
50,,100,100,ONID_0.7,StreamStats Batch,1,,04140202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1494.584367,,,,,,,,727280,3870578500
51,,102,102,ONON_1,StreamStats Batch,1,,04140201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.3756785,,,,,,,,141620,283254100
52,,104,104,ONON_18.2,StreamStats Batch,1,,04140201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.07274608,,,,,,,,54900,80470200
53,,106,106,ONON_W_2.1,StreamStats Batch,1,,04140201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.022672,,,,,,,,52700,57032900
54,,108,108,OQUA_8.9,StreamStats Batch,1,,02040101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.9609724,,,,,,,,60800,77591000
55,,110,110,ORCE_2.2,StreamStats Batch,1,,04130001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.979184317,,,,,,,,21020,7715300
56,,112,112,ORCH_0.2,StreamStats Batch,1,,04130001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271.9489863,,,,,,,,215620,704276000
57,,114,114,ORCH_1.3,StreamStats Batch,1,,04130001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.3626936,,,,,,,,207380,604347700
58,,116,116,ORCH_12.2,StreamStats Batch,1,,04130001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.9928598,,,,,,,,186000,499800500
59,,118,118,ORCH_21.6,StreamStats Batch,1,,04130001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.1056787,,,,,,,,161520,386144300
60,,120,120,ORCH_36.2,StreamStats Batch,1,,04130001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.43359106,,,,,,,,104840,161686500
61,,122,122,ORCH_9.3,StreamStats Batch,1,,04130001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.5178086,,,,,,,,197600,524467600
62,,124,124,ORCO_2.1,StreamStats Batch,1,,04130001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.97934986,,,,,,,,42920,49151500
63,,126,126,ORSK_0.9,StreamStats Batch,1,,02020004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.5246569,,,,,,,,172960,376870400
64,,128,128,ORSK_18.8,StreamStats Batch,1,,02020004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03668328,,,,,,,,2440,95000
65,,130,130,ORSK_20.6,StreamStats Batch,1,,02020004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.35345867,,,,,,,,61800,76017700
66,,132,132,ORSK_3.6,StreamStats Batch,1,,02020004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.257917,,,,,,,,167540,360641200
67,,134,134,ORSK_6.8,StreamStats Batch,1,,02020004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.76241127,,,,,,,,128380,245409600
68,,136,136,ORSK_8.1,StreamStats Batch,1,,02020004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.03236984,,,,,,,,122460,222801100
69,,138,138,ORWL_0.4,StreamStats Batch,1,,04140102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.7443314,,,,,,,,66460,51132600
70,,140,140,ORWL_3.1,StreamStats Batch,1,,04140102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.966152123,,,,,,,,45380,25809700
71,,142,142,OSBO_0.6,StreamStats Batch,1,,02050102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.295419018,,,,,,,,22660,11124000
72,,144,144,OSBO_T16_0.3,StreamStats Batch,1,,02050102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.401546767,,,,,,,,6200,1039900
73,,146,147,OSWE_19.4,StreamStats Batch,0,"16,17",04140203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.51443201,,,,,,,,42980,27229600
74,,147,147,OSWE_19.4,StreamStats Batch,1,73,04140203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4965.337414,,,,,,,,1596200,12858910400
75,,149,150,OSWE_5.2,StreamStats Batch,0,"16,17",04140203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.3623458,,,,,,,,191540,350552700
76,,150,150,OSWE_5.2,StreamStats Batch,1,75,04140203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5090.185328,,,,,,,,1593620,13182232800
77,,152,152,OTCR_2,StreamStats Batch,1,,04150303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.07696325,,,,,,,,58480,57173500
78,,154,154,OTER_0.1,StreamStats Batch,1,,04130001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.81834061,,,,,,,,72040,53914000
79,,156,156,OTER_0.6,StreamStats Batch,1,,04130001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.75277407,,,,,,,,71340,53744200
80,,158,158,OTER_10.8,StreamStats Batch,1,,04130001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4434209,,,,,,,,35960,27045700
81,,160,160,OTGO_10.8,StreamStats Batch,1,,02050101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.00779751,,,,,,,,93160,189070900
82,,162,162,OTGO_2.3,StreamStats Batch,1,,02050101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.5858434,,,,,,,,124380,278618900
83,,164,164,OTGO_T30_2.7,StreamStats Batch,1,,02050101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.489277727,,,,,,,,6940,1267100
84,,166,166,OTGO_W_0.5,StreamStats Batch,1,,02050101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.60562998,,,,,,,,51320,50773400
85,,168,168,OTIS_0.8,StreamStats Batch,1,,04120102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.03611511,,,,,,,,15000,5273000
