OBJECTID,Shape,HydroID,DrainID,Name,Descript,GlobalWshd,RELATEDOIDS,HUCID,CONTOUR,A,MXSNO,streamid,WARNINGMSG,Edited,PK1_25,PK1_5,PK2,PK5,PK10,PK25,PK50,PK100,PK200,PK500,URBNLCD2001,BFAREA,BFDPTH,BFFLOW,BFWDTH,ExcludeCode,CSL10_85,LENGTH,BSLOPCM,SLOPERATIO,LAGFACTOR,EL1200,STORAGE,FOREST,MAR,CSL1085LO,CSL1085UP,LC11DEV,LC11IMP,MAYAVPRE,JUNAVPRE,JULAVPRE,SSURGOA,SSURGOB,JUNMAXTMP,DRNAREA,PRECIP,PRJUNAUG00,CENTROIDX,CENTROIDY,OUTLETX,OUTLETY,WEIGHTED,Shape_Length,Shape_Area
1,,2,2,SPRN_2,StreamStats Batch,1,,04130003,60.677893,,,,,,,,,,,,,,,,,70.4,2.31,210,30.5,,,,,,,,,,,,,,,,,,,,,9.661410601,,,,,,,0,35240,25020500
2,,4,4,SPRO_1.3,StreamStats Batch,1,,02020008,,,,,,,,,,,,,,,,,,297,3.84,1260,77.1,,,11.68393883,,,,,,,,23.45414635,27.76933298,,,,,,,,,54.43505285,,,,,,,0,130920,140972400
3,,6,6,SPRO_10.6,StreamStats Batch,1,,02020008,,,,,,,,,,,,,,,,,,209,3.32,787,62.9,,,1.832295494,,,,,,,,36.06183416,73.76572655,,,,,,,,,27.1041944,,,,,,,0,83200,70192700
4,,8,8,SPRO_16.4,StreamStats Batch,1,,02020008,,,,,,,,,,,,,,,,,,160,2.96,546,53.7,,,1.781700144,,,,,,,,137.6510564,142.0489743,,,,,,,,,15.78354112,,,,,,,0,56380,40875200
5,,10,10,SPRT_0.2,StreamStats Batch,1,,02020004,,,,,,,,,,,,,,,,,,181,2.86,642,64.1,,,0.356148228,,,,,,,,135.6063621,269.6762227,,,,,,,,,20.35018473,,,,,,,0,62660,52701600
6,,12,12,SPRU_0.7,StreamStats Batch,1,,02010008,,,,,,,,,,,,,,,,,,229,3.2,857,72.5,,,0.877500925,,,,,,,,48.97489896,259.3798467,,,,,,,,,28.72547953,,,,,,,0,73380,74391400
7,,14,14,SPRU_6.8,StreamStats Batch,1,,02010008,,,,,,,,,,,,,,,,,,3.67,0.45,5.45,8.39,,,1.866456883,,,,,,,,20.96478212,17.91163296,,,,,,,,,0.074216068,,,,,,,0,2780,192200
8,,16,16,SPVL_2,StreamStats Batch,1,,02030200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.648599004,,,,,,,,8940,1679700
9,,18,18,SRAG_6.6,StreamStats Batch,1,,04140202,71.44213906,,,,,,,,,,,,,,,,,106,2.62,340,40.7,,,,,,,,,,,,,,,,,,,,,18.05643715,,,,,,,0,58160,46761400
10,,20,20,SRAG_9,StreamStats Batch,1,,04140202,56.85861114,,,,,,,,,,,,,,,,,83.4,2.43,256,34.3,,,,,,,,,,,,,,,,,,,,,12.49065684,,,,,,,0,43960,32347500
11,,22,22,SSAN_6.3,StreamStats Batch,1,,04140102,,,,,,,,,,,,,,,,,,492,4.6,2190,108,,,0.53146549,,,,,,,,210.1075326,47.27258897,,,,,,,,,86.35371537,,,,,,,0,137260,223633300
12,,24,24,SSAN_T10_0.7,StreamStats Batch,1,,04140102,,,,,,,,,,,,,,,,,,35.3,1.32,87.1,27.3,,,1.030611826,,,,,,,,154.7629393,450.583962,,,,,,,,,1.942090071,,,,,,,0,21540,5029500
13,,26,26,STAM_0.9,StreamStats Batch,1,,04150302,,,,,,,,,,,,,,,,,,186,2.9,666,65.1,,,1.463536313,,,,,,,,164.5841415,197.816956,,,,,,,,,21.30205792,,,,,,,0,58520,55166700
14,,28,28,STBK_0.1,StreamStats Batch,1,,01100005,,,,,,,,,,,,,,,,,,83,2.26,226,36.8,,,0.786132939,,,,,,,,223.1733921,884.0138693,,,,,,,,,4.310710153,,,,,,,0,23280,11163600
15,,30,30,STCH_0.1,StreamStats Batch,1,,02020004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.398592821,,,,,,,,32780,19160400
16,,32,32,STCH_1,StreamStats Batch,1,,02020004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.002490625,,,,,,,,30000,18134600
17,,34,34,STCH_2.7,StreamStats Batch,1,,02020004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.702603426,,,,,,,,23420,12178500
18,,36,36,STCL_0.2,StreamStats Batch,1,,02020005,,,,,,,,,,,,,,,,,,40.8,1.49,268,27.9,,,0.87073814,,,,,,,,215.8452335,604.1800162,,,,,,,,,2.888055327,,,,,,,0,15580,7479300
19,,38,38,STCR_0.2,StreamStats Batch,1,,02020004,,,,,,,,,,,,,,,,,,129,2.43,423,53.6,,,2.593162143,,,,,,,,43.17050701,145.4693335,,,,,,,,,12.48756772,,,,,,,0,41480,32339500
20,,40,40,STCR_4.1,StreamStats Batch,1,,02020004,,,,,,,,,,,,,,,,,,74.2,1.87,216,40.2,,,3.563993443,,,,,,,,4.401952951,65.7652672,,,,,,,,,5.65223701,,,,,,,0,32280,14637800
21,,42,42,STEE_0.1,StreamStats Batch,1,,02020002,,,,,,,,,,,,,,,,,,53.1,1.6,143,33.8,,,0.883349093,,,,,,,,97.7562718,630.3105036,,,,,,,,,3.491823502,,,,,,,0,21580,9042900
22,,44,44,STEL_0.6,StreamStats Batch,1,,02040101,48.67896437,,,,,,,,,,,,,,,,,50.4,1.65,225,31.3,,,,,,,,,,,,,,,,,,,,,6.504293069,,,,,,,0,24960,16844400
23,,46,46,STEM_0.1,StreamStats Batch,1,,02050104,,,,,,,,,,,,,,,,,,32.3,1.3,104,24.8,,,,,,,,,,,,,,,,,,,,,2.495003635,,,,,,,0,17420,6461400
24,,48,48,STEO_0.6,StreamStats Batch,1,,02050104,,,,,,,,,,,,,,,,,,1150,4.85,9770,238,,,,,,,,,,,,,,,,,,,,,551.8315622,,,,,,,0,341500,1429097900
25,,50,50,STEO_19,StreamStats Batch,1,,02050104,,,,,,,,,,,,,,,,,,854,4.35,6690,197,,,,,,,,,,,,,,,,,,,,,352.0028697,,,,,,,0,264600,911594400
26,,52,52,STEO_28.7,StreamStats Batch,1,,02050104,,,,,,,,,,,,,,,,,,813,4.27,6290,191,,,,,,,,,,,,,,,,,,,,,326.683452,,,,,,,0,235720,846023800
27,,54,54,STEO_32.5,StreamStats Batch,1,,02050104,,,,,,,,,,,,,,,,,,739,4.12,5570,180,,,,,,,,,,,,,,,,,,,,,282.7425588,,,,,,,0,228140,732228500
28,,56,56,STEO_33.5,StreamStats Batch,1,,02050104,,,,,,,,,,,,,,,,,,556,3.71,3870,150,,,,,,,,,,,,,,,,,,,,,184.1329982,,,,,,,0,160040,476855800
29,,58,58,STEO_33.9,StreamStats Batch,1,,02050104,,,,,,,,,,,,,,,,,,556,3.71,3870,150,,,,,,,,,,,,,,,,,,,,,183.8314616,,,,,,,0,159780,476074900
30,,60,60,STEO_37.6,StreamStats Batch,1,,02050104,,,,,,,,,,,,,,,,,,527,3.64,3620,145,,,,,,,,,,,,,,,,,,,,,169.8286814,,,,,,,0,157200,439811400
31,,62,62,STEO_44,StreamStats Batch,1,,02050104,,,,,,,,,,,,,,,,,,176,2.43,898,72.6,,,,,,,,,,,,,,,,,,,,,32.43705519,,,,,,,0,68600,84003400
32,,64,64,STEO_55.4,StreamStats Batch,1,,02050104,,,,,,,,,,,,,,,,,,38.6,1.39,130,27.8,,,,,,,,,,,,,,,,,,,,,3.278365426,,,,,,,0,20720,8490100
33,,66,66,STEO_9.7,StreamStats Batch,1,,02050104,,,,,,,,,,,,,,,,,,909,4.45,7250,205,,,,,,,,,,,,,,,,,,,,,387.0643625,,,,,,,0,306880,1002394400
34,,68,68,STEO_T22_0.2,StreamStats Batch,1,,02050104,,,,,,,,,,,,,,,,,,32.6,1.31,105,25,,,,,,,,,,,,,,,,,,,,,2.536629505,,,,,,,0,17600,6569200
35,,70,70,STEP_0.2,StreamStats Batch,1,,02050104,,,,,,,,,,,,,,,,,,67.6,1.71,266,39.6,,,,,,,,,,,,,,,,,,,,,7.643868816,,,,,,,0,27880,19795600
36,,72,72,STER_0.1,StreamStats Batch,1,,02020004,,,,,,,,,,,,,,,,,,173,2.8,607,62.5,,,0.379755207,,,,,,,,1006.043087,402.1446901,,,,,,,,,19.06376002,,,,,,,0,51760,49370100
37,,74,74,STEU_3.2,StreamStats Batch,1,,02020004,,,,,,,,,,,,,,,,,,127,2.41,415,53.2,,,1.13518392,,,,,,,,519.5255612,236.7191352,,,,,,,,,12.21221144,,,,,,,0,38460,31626400
38,,76,76,STEW_2.3,StreamStats Batch,1,,02020001,,,,,,,,,,,,,,,,,,103,2.19,321,47.7,,,0.418288375,,,,,,,,632.3325634,730.1256265,,,,,,,,,9.024357177,,,,,,,0,30180,23370700
39,,78,78,STIL_1.3,StreamStats Batch,1,,05010002,,,,,,,,,,,,,,,,,,253,2.78,1420,91.3,,,,,,,,,,,,,,,,,,,,,55.97802884,,,,,,,0,85700,144968300
40,,80,80,STIL_3.8,StreamStats Batch,1,,05010002,,,,,,,,,,,,,,,,,,225,2.66,1230,84.7,,,,,,,,,,,,,,,,,,,,,46.85478126,,,,,,,0,75080,121341500
41,,82,82,STIL_7.2,StreamStats Batch,1,,05010002,,,,,,,,,,,,,,,,,,182,2.46,937,74.1,,,,,,,,,,,,,,,,,,,,,34.10788206,,,,,,,0,59900,88330400
42,,84,84,STIW_3.9,StreamStats Batch,1,,02010008,,,,,,,,,,,,,,,,,,111,2.27,353,49.7,,,7.615954272,,,,,,,,10.08006068,109.2782837,,,,,,,,,10.0809901,,,,,,,0,33560,26107100
43,,86,86,STLE_0.2,StreamStats Batch,1,,02020004,,,,,,,,,,,,,,,,,,164,2.81,766,59.5,,,0.410383664,,,,,,,,493.3417908,855.4524108,,,,,,,,,27.2138581,,,,,,,0,67140,70476700
44,,88,88,STLE_2,StreamStats Batch,1,,02020004,,,,,,,,,,,,,,,,,,123,2.47,571,51,,,5.992544272,,,,,,,,17.9008272,99.51288376,,,,,,,,,19.29443993,,,,,,,0,56160,49967500
45,,90,90,STLE_5.4,StreamStats Batch,1,,02020004,,,,,,,,,,,,,,,,,,87.5,2.12,399,42.3,,,0.814812007,,,,,,,,196.4726265,988.9644726,,,,,,,,,12.68820595,,,,,,,0,43180,32859100
46,,92,92,STLE_T2_0.1,StreamStats Batch,1,,02020004,,,,,,,,,,,,,,,,,,38.3,1.46,169,26.9,,,1.291158828,,,,,,,,70.58177932,657.524968,,,,,,,,,4.656073581,,,,,,,0,28040,12058000
47,,94,94,STLW_1,StreamStats Batch,1,,04150301,,,,,,,,,,,,,,,,,,1660,8.19,9700,204,,,0.786757479,,,,,,,,82.05937791,468.6176609,,,,,,,,,500.2576121,,,,,,,0,569840,1295535000
48,,96,96,STLW_3.5,StreamStats Batch,1,,04150301,,,,,,,,,,,,,,,,,,11.2,0.76,21.3,15,,,0.814994931,,,,,,,,112.3766084,356.3560675,,,,,,,,,0.37343579,,,,,,,0,5360,967100
49,,98,98,STLW_51.9,StreamStats Batch,1,,04150301,,,,,,,,,,,,,,,,,,2.17,0.35,2.87,6.38,,,1.542627808,,,,,,,,104.779356,133.5753346,,,,,,,,,0.034829809,,,,,,,0,4000,90200
50,,100,100,STLW_8.3,StreamStats Batch,1,,04150301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.396099448,,,,,,,,30420,8795000
51,,102,102,STLW_86.3,StreamStats Batch,1,,04150301,,,,,,,,,,,,,,,,,,674,5.34,3210,127,,,1.415514892,,,,,,,,185.0338498,531.9568732,,,,,,,,,136.0984054,,,,,,,0,179820,352458900
52,,104,104,STN7_3.4,StreamStats Batch,1,,04140202,19.93938108,,,,,,,,,,,,,,,,,101,2.26,465,45.8,,,,,,,,,,,,,,,,,,,,,15.24742464,,,,,,,0,59560,39486800
53,,106,106,STNB_1.2,StreamStats Batch,1,,04130002,,,,,,,,,,,,,,,,,,133,2.19,628,60.8,,,,,,,,,,,,,,,,,,,,,21.23050622,,,,,,,0,46580,54981400
54,,108,108,STNE_12.1,StreamStats Batch,1,,04140102,,,,,,,,,,,,,,,,,,202,3.01,734,67.8,,,19.17006772,,,,,,,,2.72726606,39.01174326,,,,,,,,,23.85560035,,,,,,,0,67020,61779700
55,,110,110,STNE_3.8,StreamStats Batch,1,,04140102,,,,,,,,,,,,,,,,,,267,3.44,1030,78.4,,,1.222804666,,,,,,,,662.0731144,392.9352781,,,,,,,,,35.70943545,,,,,,,0,93040,92478000
56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
58,,116,116,STNY_3.2,StreamStats Batch,1,,02020006,,,,,,,,,,,,,,,,,,162,2.98,555,54.1,,,0.767856742,,,,,,,,129.9787401,751.9350689,,,,,,,,,16.2000315,,,,,,,0,51280,41953800
59,,118,118,STOB_0.4,StreamStats Batch,1,,02030101,,,,,,,,,,,,,,,,,,171,3.05,599,55.9,,,0.743000683,,,,,,,,476.9671692,105.9640282,,,,,,,,,18.09505113,,,,,,,0,51700,46861400
60,,120,120,STOC_0.2,StreamStats Batch,1,,02020006,,,,,,,,,,,,,,,,,,267,3.19,1770,84.7,,,1.105621619,,,,,,,,135.317383,444.147101,,,,,,,,,32.42462149,,,,,,,0,52220,83971200
61,,122,122,STOC_1.9,StreamStats Batch,1,,02020006,,,,,,,,,,,,,,,,,,258,3.15,1710,83,,,33.41397931,,,,,,,,6.018162643,17.4340945,,,,,,,,,30.95408533,,,,,,,0,48880,80162900
62,,124,124,STOE_1.6,StreamStats Batch,1,,02020003,,,,,,,,,,,,,,,,,,37.9,1.36,95,28.4,,,228.4372435,,,,,,,,1.353734389,13.58843897,,,,,,,,,2.147284755,,,,,,,0,18640,5560900
63,,126,126,STOH_1,StreamStats Batch,1,,02020006,,,,,,,,,,,,,,,,,,101,2.15,667,47.7,,,0.419871918,,,,,,,,529.7615931,631.055328,,,,,,,,,9.289982738,,,,,,,0,39020,24058600
64,,128,128,STOK_0.2,StreamStats Batch,1,,02050105,,,,,,,,,,,,,,,,,,157,2.33,775,67.4,,,,,,,,,,,,,,,,,,,,,27.21076898,,,,,,,0,57920,70468700
65,,130,130,STON_10.7,StreamStats Batch,1,,02020006,,,,,,,,,,,,,,,,,,162,2.98,555,54.1,,,1.414190042,,,,,,,,517.8989858,261.9042802,,,,,,,,,16.21891373,,,,,,,0,48200,42002700
66,,132,132,STON_2.6,StreamStats Batch,1,,02020006,,,,,,,,,,,,,,,,,,28.1,1.44,52.3,19.6,,,0.408068428,,,,,,,,485.7591986,329.4403482,,,,,,,,,0.501750042,,,,,,,0,7340,1299400
67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
77,,154,154,SUGC_0.3,StreamStats Batch,1,,02050103,,,,,,,,,,,,,,,,,,50.9,1.66,227,31.5,,,,,,,,,,,,,,,,,,,,,6.577234875,,,,,,,0,22040,17033300
78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
83,,166,166,SUND_0.2,StreamStats Batch,1,,04150101,,,,,,,,,,,,,,,,,,106,2.22,333,48.4,,,9.853012571,,,,,,,,49.3284418,122.0783261,,,,,,,,,9.41412668,,,,,,,0,39620,24380100
84,,168,168,SUNK_1.2,StreamStats Batch,1,,02020003,,,,,,,,,,,,,,,,,,180,2.85,636,63.8,,,5.718503085,,,,,,,,79.59797114,172.6697433,,,,,,,,,20.16572575,,,,,,,0,58240,52223900
85,,170,170,SUNS_T10_0.2,StreamStats Batch,1,,04130003,1.614186496,,,,,,,,,,,,,,,,,7.06,1.15,14.4,6.13,,,,,,,,,,,,,,,,,,,,,0.290145438,,,,,,,0,6960,751400
86,,172,172,SUNY_0.2,StreamStats Batch,1,,02030101,,,,,,,,,,,,,,,,,,79.6,2.22,214,35.9,,,0.324895231,,,,,,,,511.2813943,453.1096259,,,,,,,,,3.971138822,,,,,,,0,22000,10284200
